Contract Identifier,State Office Code,Contract Term,Acres Current,Mbf Current,Ccf Current,Value Sold
OR09-TS-2010.0539,OR,36.0,416.0,6019.0,11164.7,280347.0
OR09-TS-2010.0554,OR,36.0,396.0,9394.9,16561.1,899514.6
OR09-TS-2010.0575,OR,36.0,487.0,9616.3,17056.2,323149.5
OR09-TS-2010.0628,OR,36.0,298.0,4003.0,7349.7,384372.0
OR09-TS-2010.0629,OR,36.0,442.0,7332.5,11866.3,219647.0
OR09-TS-2011.0553,OR,36.0,182.0,3936.9,7081.1,344079.6
OR09-TS-2011.0569,OR,36.0,310.0,4805.6,8693.6,313624.0
OR09-TS-2011.0580,OR,36.0,232.0,4114.5,7286.2,506368.0
OR09-TS-2011.0582,OR,36.0,45.5,376.0,704.0,15583.8
OR09-TS-2011.0584,OR,36.0,77.0,718.0,1300.3,41359.2
OR09-TS-2011.0590,OR,36.0,64.0,917.0,1661.0,29771.7
OR09-TS-2011.0595,OR,36.0,204.0,3296.4,6010.6,339683.5
OR09-TS-2011.0630,OR,36.0,287.0,6669.0,12206.1,696750.4
OR09-TS-2011.0631,OR,36.0,151.0,3084.2,5379.2,662245.5
OR09-TS-2011.0632,OR,36.0,88.0,1792.3,3036.4,302644.9
OR09-TS-2011.0645,OR,36.0,178.0,2636.5,4953.0,353850.0
OR09-TS-2011.0646,OR,36.0,404.0,7476.4,13623.5,710396.5
OR09-TS-2011.0647,OR,36.0,449.0,7636.1,13722.4,939219.0
OR09-TS-2012.0513,OR,36.0,135.3,3666.0,6476.8,520803.0
OR09-TS-2012.0599,OR,24.0,63.0,1041.7,1697.9,122457.0
OR10-TS-2003.0009,OR,36.0,146.2,4684.9,7493.5,788302.35
OR10-TS-2006.0002,OR,36.0,347.0,6877.0,11209.5,2133798.7
OR10-TS-2006.0004,OR,36.0,115.0,3315.0,5403.5,569408.8
OR10-TS-2006.0008,OR,36.0,114.0,4400.0,7172.0,1305830.7
OR10-TS-2009.0001,OR,24.0,135.0,1463.6,2385.7,103952.1
OR10-TS-2009.0005,OR,36.0,288.0,4091.7,7831.9,473123.0
OR10-TS-2009.0009,OR,36.0,215.0,3476.1,5881.5,429598.5
OR10-TS-2009.0011,OR,36.0,201.0,3313.5,6182.4,301259.1
OR10-TS-2009.0013,OR,36.0,296.0,4720.7,8755.8,437932.4
OR10-TS-2009.0018,OR,36.0,133.0,2792.2,5228.0,134607.9
OR10-TS-2009.0205,OR,18.0,1.0,49.0,79.9,3526.5
OR10-TS-2010.0002,OR,36.0,281.0,4113.2,7545.1,641144.2
OR10-TS-2010.0003,OR,36.0,172.0,2769.3,5025.3,104059.8
OR10-TS-2010.0008,OR,36.0,156.0,2175.8,4149.5,84837.9
OR10-TS-2010.0012,OR,36.0,341.0,6237.0,11743.5,539731.3
OR10-TS-2010.0013,OR,36.0,276.0,3795.5,7100.4,407536.4
OR10-TS-2010.0014,OR,36.0,249.0,3233.9,6084.9,340426.5
OR10-TS-2010.0016,OR,36.0,205.1,4267.9,7776.0,162437.1
OR10-TS-2011.0001,OR,36.0,69.0,1026.7,1905.5,76863.8
OR10-TS-2011.0002,OR,36.0,158.0,1978.4,3670.0,140725.2
OR10-TS-2011.0003,OR,36.0,132.0,1610.9,3030.2,174836.7
OR10-TS-2011.0007,OR,36.0,139.0,1769.1,3292.7,178280.4
OR10-TS-2011.0009,OR,36.0,124.0,2110.9,3827.4,164075.6
OR10-TS-2011.0010,OR,36.0,289.0,5581.8,10023.2,716997.9
OR10-TS-2011.0011,OR,36.0,207.0,2712.9,5050.4,116839.9
OR10-TS-2011.0013,OR,36.0,190.0,3576.4,6513.9,284870.2
OR10-TS-2012.0001,OR,36.0,330.0,7104.8,12999.7,902137.5
OR11-TS-2002.0017,OR,36.0,974.0,10169.0,16645.0,1669616.25
OR11-TS-2003.0002,OR,36.0,626.0,4967.8,9024.2,256086.0
OR11-TS-2004.0015,OR,36.0,773.0,5531.0,9015.5,311793.1
OR11-TS-2005.0010,OR,36.0,503.0,3241.0,5282.8,230064.4
OR11-TS-2005.0011,OR,36.0,368.0,5895.0,9608.9,1005135.9
OR11-TS-2005.0012,OR,36.0,800.0,5703.0,9295.9,1400305.6
OR11-TS-2005.0016,OR,36.0,337.0,2490.0,4058.7,407223.4
OR11-TS-2005.0018,OR,36.0,284.0,1558.0,2539.5,100252.9
OR11-TS-2005.0019,OR,36.0,378.0,2901.0,4728.6,523895.2
OR11-TS-2006.0003,OR,12.0,5.0,118.0,192.3,28048.6
OR11-TS-2006.0007,OR,36.0,228.0,1430.0,2330.9,412147.9
OR11-TS-2006.0009,OR,36.0,231.0,2920.0,4759.6,356921.8
OR11-TS-2006.0025,OR,3.0,61.0,43.0,70.1,15050.0
OR11-TS-2007.0019,OR,36.0,247.0,2987.8,6114.5,541183.5
OR11-TS-2007.0021,OR,12.0,1.0,15.0,24.5,3386.55
OR11-TS-2009.0011,OR,36.0,184.0,2912.8,5246.0,312786.2
OR11-TS-2010.0005,OR,36.0,66.0,536.0,958.0,43927.9
OR11-TS-2010.0009,OR,36.0,182.0,2393.2,4134.7,94437.1
OR11-TS-2010.0014,OR,24.0,110.0,263.0,526.0,19194.5
OR11-TS-2010.0015,OR,36.0,185.0,1343.4,2413.2,76060.0
OR11-TS-2010.0016,OR,36.0,29.0,222.5,409.8,24478.6
OR11-TS-2010.0017,OR,36.0,638.0,6846.6,11781.6,1610191.3
OR11-TS-2010.0018,OR,36.0,467.0,2735.2,4685.0,296477.0
